action,price,amount,datetime
short,6561.99,1.52392795478,2017-11-14
cover,7794.63,1.52392795478,2017-11-16
buy,7794.63,1.28293453313,2017-11-16
sell,13839.37,1.28293453313,2017-12-23
short,13839.37,0.722576244439,2017-12-23
cover,17000.0,0.722576244439,2018-01-06
buy,17000.0,0.588235294118,2018-01-06
sell,13777.0,0.588235294118,2018-01-12
short,13777.0,0.725847426871,2018-01-12
cover,10164.28,0.725847426871,2018-02-16
buy,10164.28,0.983837517266,2018-02-16
sell,9220.0,0.983837517266,2018-03-09
short,9220.0,1.08459869848,2018-03-09
cover,7873.74,1.08459869848,2018-04-13
buy,7873.74,1.27004447696,2018-04-13
sell,8398.15,1.27004447696,2018-05-11
short,8398.15,1.19073843644,2018-05-11
cover,7488.06,1.19073843644,2018-06-09
buy,7488.06,1.33545938467,2018-06-09
sell,6761.53,1.33545938467,2018-06-10
short,6761.53,1.47895520688,2018-06-10
cover,6512.18,1.47895520688,2018-07-03
buy,6512.18,1.53558409012,2018-07-03
sell,6217.03,1.53558409012,2018-07-13
short,6217.03,1.6084850805,2018-07-13
cover,7313.31,1.6084850805,2018-07-17
buy,7313.31,1.36736990501,2018-07-17
sell,7008.89,1.36736990501,2018-08-04
short,7008.89,1.42675944408,2018-08-04
cover,6683.63,1.42675944408,2018-08-24
buy,6683.63,1.49619293707,2018-08-24
sell,6183.98,1.49619293707,2018-09-08
short,6183.98,1.61708155589,2018-09-08
cover,6721.55,1.61708155589,2018-09-22
buy,6721.55,1.48775208099,2018-09-22
sell,6251.96,1.48775208099,2018-10-11
short,6251.96,1.5994983973,2018-10-11
cover,6740.04,1.5994983973,2018-10-17
buy,6740.04,1.48367072006,2018-10-17
sell,6538.09,1.48367072006,2018-10-26
short,6538.09,1.52949867622,2018-10-26
cover,6479.09,1.52949867622,2018-11-08
buy,6479.09,1.54342662318,2018-11-08
sell,6450.51,1.54342662318,2018-11-12
short,6450.51,1.5502650178,2018-11-12
cover,4050.92,1.5502650178,2018-12-20
buy,4050.92,2.46857503974,2018-12-20
sell,3583.68,2.46857503974,2019-01-12
short,3583.68,2.79042771676,2019-01-12
cover,3664.32,2.79042771676,2019-02-09
buy,3664.32,2.72901929962,2019-02-09
sell,3716.23,2.72901929962,2019-03-04
short,3716.23,2.69089911012,2019-03-04
cover,3941.99,2.69089911012,2019-03-09
buy,3941.99,2.53678979399,2019-03-09
sell,7783.76,2.53678979399,2019-06-06
short,7783.76,1.28472614777,2019-06-06
cover,8809.23,1.28472614777,2019-06-15
buy,8809.23,1.13517299469,2019-06-15
